PASO_CRUCE,CANTIDAD
PTE. INT. TANCREDO NEVES,2909777
AERO EZEIZA,2672344
PTE. SAN ROQUE GONZALEZ DE SAN,2168926
SALVADOR MAZZA - YACUIBA,941426
PASO DE LOS LIBRES,889253
COLON - PAYSANDU,487991
PTE. SAN IGNACIO DE LOYOLA,485525
AERO JORGE NEWBERY,454804
PTE. INT. SALTO GRANDE,384019
PUERTO CHALANAS,350264
GUALEGUAYCHU - FRAY BENTOS,326841
PASO BERNARDO DE IRIGOYEN,263835
PTE INT SANTO TOME - SAO BORJA,246170
POSADAS - ENCARNACION (FFCC),243106
BUQUEBUS,241436
AERO CORDOBA,232590
PASO AGUAS BLANCAS,229492
ROU - COLONIA,221424
LA QUIACA - VILLAZON,197848
AERO MENDOZA,162067
PASO CARDENAL ANTONIO SAMORE,161824
PUERTO FORMOSA,149048
CRISTO REDENTOR (HORCONES),132045
AERO ROSARIO,124275
CRISTO REDENTOR (LIBERTADORES),104002
CRISTO REDENTOR (USPALLATA),81379
PASO PINO HACHADO,72221
PASO DOROTEA,70763
SAN SEBASTIAN  ( USHUAIA ),68434
ROU - MONTEVIDEO,67478
PASO MAMUIL MALAL,60329
PUERTO ALBA POSSE (PF),53013
INTEGRACION AUSTRAL,52867
MONTE AYMOND,52699
COLONIA EXPRESS BAIRES,52317
PUERTO SAN ANTONIO,50403
PASARELA LA FRATERNIDAD,48740
PTO LIB. GRAL. SAN MARTIN (PF),44726
PASO JEINIMENI - CHILE CHICO,44718
EL SOBERBIO - P.SOBERBO (PF),44305
ANDRESITO - CAPANEMA,42525
PUERTO PILCOMAYO (PF),41504
PUERTO PASO DE LA BARCA (PF),37506
PASO DE JAMA,37343
PEPIRI GUAZU - SAO MIGUEL,32723
AERO BENJAMIN MATIENZO (TUCUMA,30092
RIO FUTALEUFU ( RIO GRANDE ),28930
PUERTO IGUAZU - TRES FRONTERAS,28161
AERO BARILOCHE,27928
PUERTO COLONIA CANO,26049
PUERTO MONTECARLO,24548
PUERTO WANDA,23259
AERO SALTA,18736
PUERTO TIGRE,18375
PUERTO MANI,16697
PASO LAURITA CASAS VIEJAS,16501
PANAMBI - VERACRUZ,14563
PUERTO ELDORADO,13384
PASO ICALMA,12235
PUERTO ITATI,11017
PUERTO BUENOS AIRES,10331
HUEMULES,9988
AERO NEUQUEN,9371
PUERTO SAN LORENZO,9220
PUERTO PIRAY,8587
PASO COIHAIQUE,7750
PASO RIO ENCUENTRO,7289
PUERTO SAN MARTIN,7163
PASO HUA - HUM,6263
PASO RIO DON GUILLERMO,6224
PUERTO CANDELARIA,5863
PUERTO ALVEAR (PF),5807
PUERTO ZARATE,5424
PASO EL CONDADO LAS MAMORAS,5022
PUERTO ROSARIO,4708
PASO PEREZ ROSALES,4415
AERO SAN FERNANDO,4147
PUERTO MONTE CASEROS,3853
PUERTO BAHIA BLANCA,3456
PUERTO LA PLATA,3448
GRL BELGRANO - GRL BRUGUEZ,3103
PUERTO PASO DE LA PATRIA,2956
PASO PEHUENCHE,2807
PTE. INT. MISION LA PAZ - POZO,2780
PUERTO CAMPANA,2656
PUERTO SANTA ANA,2386
YACIRETA (CTES),2164
PUERTO OASIS,1985
PUERTO DE SAN ISIDRO,1976
PUERTO QUEQUEN,1722
ING. PALLAVICINI - IBAÑEZ,1590
PUERTO GUAZU GUAZUCITO,1566
PASO SAN FRANCISCO,1503
PUERTO SAN NICOLAS,1400
PUERTO LIBERTAD,1392
PUERTO OLIVOS,1281
PUERTO ESCOBAR,1252
PUERTO YAHAPE,1238
PUERTO USHUAIA,1235
AERO EZEIZA - FBO,1145
