PASO_CRUCE,CANTIDAD
PTE. INT. TANCREDO NEVES,3295499
PTE. SAN ROQUE GONZALEZ DE SAN,2962205
AERO EZEIZA,2497959
SALVADOR MAZZA - YACUIBA,1145504
PASO DE LOS LIBRES,990394
AERO JORGE NEWBERY,799566
PTE. SAN IGNACIO DE LOYOLA,601601
PUERTO CHALANAS,568238
COLON - PAYSANDU,425677
LA QUIACA - VILLAZON,409449
POSADAS - ENCARNACION (FFCC),379566
PTE. INT. SALTO GRANDE,374165
GUALEGUAYCHU - FRAY BENTOS,314240
PASO AGUAS BLANCAS,284182
BUQUEBUS,271881
PTE INT SANTO TOME - SAO BORJA,254399
ROU - COLONIA,249858
CRISTO REDENTOR (HORCONES),239759
AERO CORDOBA,235799
PUERTO FORMOSA,230130
PASO CARDENAL ANTONIO SAMORE,229934
CRISTO REDENTOR (LIBERTADORES),197022
AERO MENDOZA,148895
AERO ROSARIO,114784
PASO PINO HACHADO,105448
PASO BERNARDO DE IRIGOYEN,98991
MONTE AYMOND,97867
PASO DOROTEA,97477
SAN SEBASTIAN  ( USHUAIA ),93432
PASO MAMUIL MALAL,90542
PTO LIB. GRAL. SAN MARTIN (PF),81167
INTEGRACION AUSTRAL,81134
CRISTO REDENTOR (USPALLATA),81052
PUERTO SAN ANTONIO,76944
ROU - MONTEVIDEO,70864
PUERTO ALBA POSSE (PF),61188
PASO JEINIMENI - CHILE CHICO,60310
COLONIA EXPRESS BAIRES,59704
PUERTO PILCOMAYO (PF),56679
ANDRESITO - CAPANEMA,56446
PASO DE JAMA,53633
PASARELA LA FRATERNIDAD,45827
PUERTO MONTECARLO,44070
PUERTO PASO DE LA BARCA (PF),43052
EL SOBERBIO - P.SOBERBO (PF),41913
PEPIRI GUAZU - SAO MIGUEL,38540
PASO LAURITA CASAS VIEJAS,38046
RIO FUTALEUFU ( RIO GRANDE ),36185
PUERTO IGUAZU - TRES FRONTERAS,35837
PUERTO WANDA,34168
PUERTO COLONIA CANO,26981
PUERTO MANI,26233
AERO SALTA,23618
PUERTO TIGRE,22193
YACIRETA (CTES),19561
PUERTO ELDORADO,18611
PASO ICALMA,15779
PANAMBI - VERACRUZ,15266
PUERTO SAN LORENZO,12242
PASO COIHAIQUE,12088
PUERTO PIRAY,11351
PUERTO ITATI,10234
PUERTO MONTE CASEROS,10123
AERO BARILOCHE,9471
PUERTO BUENOS AIRES,9396
PASO RIO ENCUENTRO,9345
PASO RIO DON GUILLERMO,8139
PUERTO CANDELARIA,7807
PUERTO SAN MARTIN,7124
PUERTO ZARATE,6323
PUERTO ROSARIO,5925
PUERTO LA PLATA,5301
PUERTO BAHIA BLANCA,5033
PASO PEREZ ROSALES,4616
AERO SAN FERNANDO,4587
PUERTO PASO DE LA PATRIA,3812
GRL BELGRANO - GRL BRUGUEZ,3501
AERO BENJAMIN MATIENZO (TUCUMA,3122
PUERTO DE SAN ISIDRO,3075
PASO HUA - HUM,2760
PUERTO OASIS,2600
PUERTO SANTA ANA,2424
PUERTO YAHAPE,2379
PUERTO GUAZU GUAZUCITO,2377
PUERTO QUEQUEN,2361
PUERTO OLIVOS,1973
PUERTO ALVEAR (PF),1892
PUERTO CAMPANA,1874
PUERTO VICTORIA,1744
PUERTO SAN NICOLAS,1577
PUERTO MADO,1528
PUERTO ESCOBAR,1430
PUERTO LIBERTAD,1313
PUERTO LAS PALMAS,1222
PUERTO USHUAIA,1200
PUERTO GARUHAPE,1154
PTE. INT. MISION LA PAZ - POZO,1115
AERO EZEIZA - FBO,1085
PUERTO LEONI,809
PUERTO CORRIENTES,802
