cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo ,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1965,aceite de maní,t,tonelada,0,0,0,0,9479,8974,9685,9503,10160,10042,11573,8704
32,Argentina,1966,aceite de maní,t,tonelada,6377,6280,3916,4016,7709,15010,15218,10875,9647,8774,7675,4112
32,Argentina,1967,aceite de maní,t,tonelada,3788,157,468,2492,12266,12231,11480,9305,5370,5996,4479,3844
32,Argentina,1968,aceite de maní,t,tonelada,3826,1679,745,4578,9039,9229,8026,6799,5569,5286,4397,1601
32,Argentina,1969,aceite de maní,t,tonelada,2892,764,56,3627,7930,5530,4783,4706,3793,1643,1913,601
32,Argentina,1970,aceite de maní,t,tonelada,435,398,168,5217,6300,7905,7852,4429,4899,4449,6300,4558
32,Argentina,1971,aceite de maní,t,tonelada,2549,1153,172,3498,9704,11126,9283,11315,9470,7398,9799,6704
32,Argentina,1972,aceite de maní,t,tonelada,4362,1932,249,863,4650,3113,5354,6448,9922,7284,9489,5543
32,Argentina,1973,aceite de maní,t,tonelada,3724,1789,342,3842,10016,10760,14964,14443,10893,7025,4049,3631
32,Argentina,1974,aceite de maní,t,tonelada,3459,1784,87,3625,8613,14016,7513,9591,5514,7390,3366,2302
32,Argentina,1975,aceite de maní,t,tonelada,145,3336,2770,597,2917,3704,5252,6585,10475,4715,4887,6820
32,Argentina,1976,aceite de maní,t,tonelada,9548,5119,2177,904,5900,7096,9347,1881,2429,2151,7725,8072
32,Argentina,1977,aceite de maní,t,tonelada,9566,6797,8969,8317,8386,10568,11851,20286,16514,8293,11365,8533
32,Argentina,1978,aceite de maní,t,tonelada,6697,7503,5687,8183,11847,9548,8424,7523,4520,6185,5449,2997
32,Argentina,1979,aceite de maní,t,tonelada,2755,3950,4925,5794,11846,16083,12726,10456,13261,7781,4484,5157
32,Argentina,1980,aceite de maní,t,tonelada,4127,2638,1659,110,1572,4900,5378,10035,8087,2966,3090,1088
32,Argentina,1981,aceite de maní,t,tonelada,1219,1444,2651,213,1222,4411,2570,5369,3688,1168,2330,2280
32,Argentina,1982,aceite de maní,t,tonelada,3381,9133,2245,1581,4197,4813,3644,4912,4765,1327,5536,2518
32,Argentina,1983,aceite de maní,t,tonelada,9398,5780,3109,3090,2764,1521,3410,3767,2640,2013,2589,1754
32,Argentina,1984,aceite de maní,t,tonelada,1460,1199,2892,774,1362,3235,3330,2960,3403,3619,4135,2081
32,Argentina,1985,aceite de maní,t,tonelada,418,3510,2713,57,1646,4086,2294,3243,3038,2885,3008,2578
