indice_tiempo,focos_tamanio_minimo,focos_tamanio_maximo,focos_cantidad
2011-01,20.1,50,1
2011-02,0,5,2
2011-03,5.1,25,5
2011-04,0,0,0
2011-05,0,5,1
2011-06,0,5,1
2011-07,0,0,0
2011-08,55.2,125,4
2011-09,125.3,575,8
2011-10,100.1,550,20
2011-11,25.2,75,17
2011-12,105.2,525,57
2012-01,675.5,675,47
2012-02,655.4,675,18
2012-03,5.1,25,14
2012-04,5.1,20,19
2012-05,5.1,20,4
2012-06,0,0,0
2012-07,75.3,175,4
2012-08,100.1,505,19
2012-09,605.3,525,19
2012-10,5.1,25,23
2012-11,0,5,32
2012-12,100.1,505,10
2013-01,5.1,25,23
2013-02,5.1,25,18
2013-03,0,5,27
2013-04,0,5,12
2013-05,0,5,1
2013-06,0,0,0
2013-07,25.2,75,8
2013-08,655.4,675,7
2013-09,5.1,25,6
2013-10,125.3,575,21
2013-11,120.2,555,14
2013-12,100.1,505,47
2014-01,605.3,525,31
2014-02,25.2,75,35
2014-03,105.2,525,43
2014-04,0,0,0
2014-05,0,5,1
2014-06,0,5,5
2014-07,0,5,4
2014-08,5.1,25,5
2014-09,5.1,25,10
2014-10,5.1,25,20
2014-11,525.3,55,14
2014-12,20.1,55,19
2015-01,0,5,42
2015-02,20.1,55,62
2015-03,0,5,29
2015-04,5.1,25,13
2015-05,0,5,3
2015-06,5.1,25,8
2015-07,5.1,25,16
2015-08,125.3,575,18
2015-09,175.4,675,17
2015-10,5.1,25,11
2015-11,5.1,25,16
2015-12,0,5,9
2016-01,0,5,19
2016-02,0,5,13
2016-03,0,5,28
2016-04,0,5,5
2016-05,0,5,2
2016-06,20.1,55,2
2016-07,0,0,0
2016-08,5.1,25,7
2016-09,75.3,175,22
2016-10,0,5,4
2016-11,5.1,25,10
2016-12,5.1,25,13
2017-01,5.1,25,8
2017-02,5.1,25,30
2017-03,20.1,55,2
2017-04,0,5,5
2017-05,0,5,1
2017-06,0,0,0
2017-07,20.1,55,2
2017-08,5.1,25,17
2017-09,0,5,16
2017-10,25.2,75,14
2017-11,5.1,25,18
2017-12,674,575,17
