PASO_CRUCE,CANTIDAD
AERO EZEIZA,2507922
PTE. INT. TANCREDO NEVES,2461855
PTE. SAN ROQUE GONZALEZ DE SAN,2451996
SALVADOR MAZZA - YACUIBA,959151
PASO DE LOS LIBRES,890349
AERO JORGE NEWBERY,553478
PTE. SAN IGNACIO DE LOYOLA,483254
PUERTO CHALANAS,392858
COLON - PAYSANDU,377107
PTE. INT. SALTO GRANDE,298575
GUALEGUAYCHU - FRAY BENTOS,292437
POSADAS - ENCARNACION (FFCC),278246
AERO CORDOBA,257959
PTE INT SANTO TOME - SAO BORJA,256006
PASO BERNARDO DE IRIGOYEN,245550
PASO AGUAS BLANCAS,231168
ROU - COLONIA,230849
BUQUEBUS,212334
CRISTO REDENTOR (HORCONES),210668
LA QUIACA - VILLAZON,176055
PASO CARDENAL ANTONIO SAMORE,171780
AERO MENDOZA,168283
PUERTO FORMOSA,160378
CRISTO REDENTOR (LIBERTADORES),142758
AERO ROSARIO,138265
PASO PINO HACHADO,85721
CRISTO REDENTOR (USPALLATA),80563
SAN SEBASTIAN  ( USHUAIA ),72343
PASO MAMUIL MALAL,64107
ROU - MONTEVIDEO,62572
INTEGRACION AUSTRAL,61416
MONTE AYMOND,60744
PUERTO ALBA POSSE (PF),56521
PUERTO SAN ANTONIO,55300
COLONIA EXPRESS BAIRES,49595
PTO LIB. GRAL. SAN MARTIN (PF),47635
EL SOBERBIO - P.SOBERBO (PF),45245
PASO JEINIMENI - CHILE CHICO,45045
ANDRESITO - CAPANEMA,44231
PASO DOROTEA,44101
PASO DE JAMA,42437
PUERTO PILCOMAYO (PF),40434
PASARELA LA FRATERNIDAD,38438
PUERTO PASO DE LA BARCA (PF),37832
PEPIRI GUAZU - SAO MIGUEL,37729
PASO LAURITA CASAS VIEJAS,31729
PUERTO MONTECARLO,30968
RIO FUTALEUFU ( RIO GRANDE ),29948
PUERTO WANDA,28868
AERO BENJAMIN MATIENZO (TUCUMA,25940
PUERTO IGUAZU - TRES FRONTERAS,24898
PUERTO COLONIA CANO,21514
PUERTO MANI,18228
PASO RIO DON GUILLERMO,17404
PUERTO TIGRE,17334
AERO SALTA,15475
PANAMBI - VERACRUZ,14982
PASO ICALMA,14100
PUERTO ELDORADO,12151
PASO PEHUENCHE,11521
PUERTO BUENOS AIRES,11289
AERO NEUQUEN,10771
PUERTO SAN LORENZO,9523
TERMINAL CRUCEROS PTO. BS. AS.,8694
PASO COIHAIQUE,8035
PUERTO PIRAY,8000
PASO RIO ENCUENTRO,7978
PUERTO ITATI,7889
YACIRETA (CTES),7217
PUERTO CANDELARIA,6692
PUERTO SAN MARTIN,6468
PUERTO ZARATE,5776
AERO SAN JUAN,5078
AERO SAN FERNANDO,4897
PASO PEREZ ROSALES,4801
PUERTO MONTE CASEROS,4637
PUERTO LA PLATA,4477
PUERTO ROSARIO,4400
PUERTO BAHIA BLANCA,4303
PASO EL CONDADO LAS MAMORAS,4181
PUERTO ALVEAR (PF),3894
PASO HUA - HUM,3858
GRL BELGRANO - GRL BRUGUEZ,3518
PASO SAN FRANCISCO,3396
PASO AGUA NEGRA,3081
PUERTO DE SAN ISIDRO,2940
PUERTO USHUAIA,2902
PUERTO PASO DE LA PATRIA,2818
PUERTO SANTA ANA,2719
PUERTO GUAZU GUAZUCITO,2293
PUERTO LIBERTAD,2103
PASO SICO,2064
PUERTO YAHAPE,1964
AERO JUJUY,1933
PUERTO CAMPANA,1878
PUERTO OLIVOS,1844
PUERTO QUEQUEN,1772
PUERTO ISLA MARTIN GARCIA,1727
PUERTO OASIS,1705
PASO TRIANA,1402
