AERO EZEIZA,3066616
PTE. INT. TANCREDO NEVES,2974851
PTE. SAN ROQUE GONZALEZ DE SAN,2207729
SALVADOR MAZZA - YACUIBA,900422
PASO DE LOS LIBRES,849391
PUERTO CHALANAS,639032
PTE. SAN IGNACIO DE LOYOLA,493170
COLON - PAYSANDU,467097
PTE. INT. SALTO GRANDE,374479
LA QUIACA - VILLAZON,374086
GUALEGUAYCHU - FRAY BENTOS,334130
PASO AGUAS BLANCAS,298298
PTE INT SANTO TOME - SAO BORJA,249777
BUQUEBUS,235659
ROU - COLONIA,234598
PASO BERNARDO DE IRIGOYEN,228386
AERO CORDOBA,181547
CRISTO REDENTOR (HORCONES),164562
PUERTO FORMOSA,164376
AERO MENDOZA,120360
PASO CARDENAL ANTONIO SAMORE,119461
CRISTO REDENTOR (LIBERTADORES),119440
POSADAS - ENCARNACION (FFCC),106898
CRISTO REDENTOR (USPALLATA),86182
PASO MAMUIL MALAL,82751
AERO ROSARIO,82096
ROU - MONTEVIDEO,72842
COLONIA EXPRESS BAIRES,72532
AERO JORGE NEWBERY,72324
SAN SEBASTIAN  ( USHUAIA ),68259
PASO DOROTEA,66042
AERO PALOMAR,65427
PASO PINO HACHADO,64753
INTEGRACION AUSTRAL,55704
MONTE AYMOND,53958
ANDRESITO - CAPANEMA,53194
PASARELA LA FRATERNIDAD,48125
EL SOBERBIO - P.SOBERBO (PF),45396
PTO LIB. GRAL. SAN MARTIN (PF),44643
PASO JEINIMENI - CHILE CHICO,43549
PUERTO ALBA POSSE (PF),42697
PUERTO SAN ANTONIO,39794
PASO DE JAMA,37748
PUERTO PASO DE LA BARCA (PF),36851
AERO BARILOCHE,33932
PEPIRI GUAZU - SAO MIGUEL,31840
PUERTO IGUAZU - TRES FRONTERAS,31245
RIO FUTALEUFU ( RIO GRANDE ),29420
PUERTO WANDA,20909
PASO LAURITA CASAS VIEJAS,19879
PUERTO MONTECARLO,19869
PUERTO COLONIA CANO,19593
YACIRETA (CTES),17339
PANAMBI - VERACRUZ,16042
AERO SALTA,15443
PUERTO MANI,14622
PASO RIO DON GUILLERMO,14085
PUERTO SAN LORENZO,12987
AERO BENJAMIN MATIENZO (TUCUMA,12705
HUEMULES,12557
PUERTO ELDORADO,12550
PASO ICALMA,11699
PASO PEHUENCHE,10911
PUERTO ITATI,10383
PUERTO BUENOS AIRES,10290
AERO NEUQUEN,9988
PUERTO SAN MARTIN,8837
PUERTO ALVEAR (PF),7352
PASO HUA - HUM,7184
PASO RIO ENCUENTRO,7159
PASO COIHAIQUE,7131
PUERTO PILCOMAYO (PF),6909
PUERTO PIRAY,6762
PUERTO ROSARIO,5994
PUERTO ZARATE,5780
PASO SAN FRANCISCO,5686
PASO EL CONDADO LAS MAMORAS,5555
AERO SAN FERNANDO,5269
PUERTO BAHIA BLANCA,5160
PUERTO CANDELARIA,5143
PASO PEREZ ROSALES,4931
PUERTO LA PLATA,4176
PUERTO TIGRE,3963
PUERTO PASO DE LA PATRIA,3818
PUERTO YAHAPE,3158
GRL BELGRANO - GRL BRUGUEZ,3149
PUERTO DE SAN ISIDRO,2960
PUERTO QUEQUEN,2547
PUERTO SANTA ANA,2246
PUERTO OASIS,2168
PUERTO CAMPANA,2095
PUERTO OLIVOS,2075
PUERTO GUAZU GUAZUCITO,2032
ING. PALLAVICINI - IBAÑEZ,2011
AERO CATARATAS DEL IGUAZU,1801
PUERTO SAN NICOLAS,1799
PUERTO LIBERTAD,1651
PUERTO MONTE CASEROS,1547
PUERTO USHUAIA,1532
PTE. INT. MISION LA PAZ - POZO,1427
