PASO_CRUCE,CANTIDAD
PTE. INT. TANCREDO NEVES,3010488
PTE. SAN ROQUE GONZALEZ DE SAN,2850122
AERO EZEIZA,2474527
SALVADOR MAZZA - YACUIBA,1149664
PASO DE LOS LIBRES,1116059
AERO JORGE NEWBERY,864611
PTE. SAN IGNACIO DE LOYOLA,572913
GUALEGUAYCHU - FRAY BENTOS,450131
PUERTO CHALANAS,443353
COLON - PAYSANDU,439186
POSADAS - ENCARNACION (FFCC),424524
LA QUIACA - VILLAZON,403683
BUQUEBUS,359349
PTE. INT. SALTO GRANDE,351630
PASO CARDENAL ANTONIO SAMORE,329926
CRISTO REDENTOR (HORCONES),328906
ROU - COLONIA,296018
CRISTO REDENTOR (LIBERTADORES),276600
PTE INT SANTO TOME - SAO BORJA,269767
PASO AGUAS BLANCAS,259663
AERO CORDOBA,246655
PUERTO FORMOSA,216066
SAN SEBASTIAN  ( USHUAIA ),145936
AERO MENDOZA,139390
TERMINAL CRUCEROS PTO. BS. AS.,139252
INTEGRACION AUSTRAL,134051
PASO PINO HACHADO,132422
AERO ROSARIO,129678
PASO BERNARDO DE IRIGOYEN,127581
PASO DOROTEA,123212
MONTE AYMOND,116484
PASO MAMUIL MALAL,115665
COLONIA EXPRESS BAIRES,87718
ROU - MONTEVIDEO,87713
CRISTO REDENTOR (USPALLATA),83957
PUERTO SAN ANTONIO,82420
PUERTO USHUAIA,73428
PASO JEINIMENI - CHILE CHICO,68931
PTO LIB. GRAL. SAN MARTIN (PF),66295
PUERTO ALBA POSSE (PF),62133
PASO DE JAMA,60876
PASO RIO DON GUILLERMO,58106
ANDRESITO - CAPANEMA,53212
PUERTO PILCOMAYO (PF),50677
PASARELA LA FRATERNIDAD,44117
PUERTO PASO DE LA BARCA (PF),43775
RIO FUTALEUFU ( RIO GRANDE ),43450
EL SOBERBIO - P.SOBERBO (PF),41702
PASO LAURITA CASAS VIEJAS,40540
PUERTO MONTECARLO,39913
PUERTO WANDA,38158
PUERTO IGUAZU - TRES FRONTERAS,33546
PEPIRI GUAZU - SAO MIGUEL,29071
PUERTO TIGRE,28593
PUERTO COLONIA CANO,28562
PUERTO MANI,23684
AERO BENJAMIN MATIENZO (TUCUMA,20665
AERO SALTA,18803
PASO PEHUENCHE,18440
PASO ICALMA,17971
PUERTO ELDORADO,17934
PASO COIHAIQUE,17804
PANAMBI - VERACRUZ,15676
PUERTO MADRYN (ALMIRANTE STORN,13845
YACIRETA (CTES),12997
PUERTO PIRAY,12041
PASO RIO ENCUENTRO,11420
PASO PEREZ ROSALES,11113
PASO AGUA NEGRA,10337
PUERTO ITATI,10286
PUERTO BUENOS AIRES,10161
PUERTO SAN LORENZO,10100
PUERTO MADRYN,10005
PUERTO MONTE CASEROS,9926
AERO NEUQUEN,9893
AERO SAN FERNANDO,9554
AERO SAN JUAN,9502
PUERTO CANDELARIA,7610
PASO HUA - HUM,6954
PUERTO DE SAN ISIDRO,6181
PUERTO ZARATE,5898
PUERTO SAN MARTIN,5627
PUERTO LA PLATA,5208
PUERTO GUAZU GUAZUCITO,5171
PUERTO ROSARIO,4628
PUERTO BAHIA BLANCA,4557
PUERTO PASO DE LA PATRIA,4054
GRL BELGRANO - GRL BRUGUEZ,3994
PASO SAN FRANCISCO,3244
PUERTO OLIVOS,2969
PUERTO CAMPANA,2695
PUERTO SANTA ANA,2676
PUERTO OASIS,2595
PUERTO YAHAPE,2259
PASO SICO,2242
AERO PUBLICO DE USHUAIA,2016
AERO EZEIZA - FBO,1981
PUERTO SAN NICOLAS,1860
PUERTO GARUHAPE,1737
PUERTO LIBERTAD,1698
