fecha,azucar_precio_londres_contrato1,azucar_precio_londres_contrato2,azucar_precio_londres_promedio
2020-06-16,389.9,372.6,381.25
2020-06-15,383.8,369.1,376.45
2020-06-12,383.4,368,375.7
2020-06-11,387.8,371,379.4
2020-06-10,394.9,376.5,385.7
2020-06-09,388.3,372.1,380.2
2020-06-08,387.3,369.5,378.4
2020-06-05,392.9,373,382.95
2020-06-04,384.8,364,374.4
2020-06-03,375.6,359.8,367.7
2020-06-02,370,354.1,362.05
2020-06-01,364.8,348.9,356.85
2020-05-29,362.2,346,354.1
2020-05-28,361.5,343.5,352.5
2020-05-27,364,345.1,354.55
2020-05-26,376.4,349.1,362.75
2020-05-22,366.9,343.9,355.4
2020-05-21,365.3,344.2,354.75
2020-05-20,366.8,345.2,356
2020-05-19,364.6,341.2,352.9
2020-05-18,363.6,340.3,351.95
2020-05-15,359.2,333.3,346.25
2020-05-14,355.2,333.6,344.4
2020-05-13,344.8,328.7,336.75
2020-05-12,344.2,327.4,335.8
2020-05-11,340.9,325.9,333.4
2020-05-07,348,331.1,339.55
2020-05-06,345.1,330.7,337.9
2020-05-05,357.7,342.4,350.05
2020-05-04,342.1,331.5,336.8
2020-05-01,351.3,341,346.15
2020-04-30,336.2,328,332.1
2020-04-29,321.2,314.3,317.75
2020-04-28,311.7,305.5,308.6
2020-04-27,307.5,302.4,304.95
2020-04-24,317.4,310.4,313.9
2020-04-23,322,314.8,318.4
2020-04-22,324.6,317.4,321
2020-04-21,322,314.6,318.3
2020-04-20,329.1,319.9,324.5
2020-04-17,340,330,335
2020-04-16,337.8,325.4,331.6
2020-04-15,342.7,331.7,337.2
2020-04-14,345.2,331.2,338.2
2020-04-09,348.5,331.3,339.9
2020-04-08,339.4,328.9,334.15
2020-04-07,328.4,324.1,326.25
2020-04-06,330.1,324.2,327.15
2020-04-03,336.5,322.8,329.65
2020-04-02,340.6,322.8,331.7
2020-04-01,342,323.4,332.7
2020-03-31,353.1,330.9,342
2020-03-30,356.1,336.9,346.5
2020-03-27,350.7,339,344.85
2020-03-26,350.4,338.7,344.55
2020-03-25,338.9,335.9,337.4
2020-03-24,338.9,333,335.95
2020-03-23,340.6,332.3,336.45
2020-03-20,344.4,334.7,339.55
2020-03-19,337.9,326.8,332.35
2020-03-18,335.8,327.7,331.75
2020-03-17,338.5,330.1,334.3
2020-03-16,342.5,334.5,338.5
2020-03-13,355,345.4,350.2
2020-03-12,354.1,344.8,349.45
2020-03-11,359.2,353.7,356.45
2020-03-10,361.8,358.2,360
2020-03-09,355.6,355.6,355.6
2020-03-06,370.3,368.4,369.35
2020-03-05,383.5,378.1,380.8
2020-03-04,384.7,379.9,382.3
2020-03-03,389.2,385.2,387.2
2020-03-02,391.9,386,388.95
2020-02-28,396.6,390.7,393.65
2020-02-27,398.7,393.2,395.95
2020-02-26,405.8,400.5,403.15
2020-02-25,412.7,406.2,409.45
2020-02-24,414.8,406.7,410.75
2020-02-21,423.4,414.8,419.1
2020-02-20,419.7,412.4,416.05
2020-02-19,422,414.4,418.2
2020-02-18,416.8,410,413.4
2020-02-17,409.5,404.8,407.15
2020-02-14,407.2,412.2,409.7
2020-02-13,425.9,418.2,422.05
2020-02-12,451,429.6,440.3
2020-02-11,437,422.5,429.75
2020-02-10,429.9,417.4,423.65
2020-02-07,428.1,416.2,422.15
2020-02-06,414,407.7,410.85
2020-02-05,413.6,406.8,410.2
2020-02-04,413.7,406.1,409.9
2020-02-03,416.6,408.4,412.5
2020-01-31,406.2,399.2,402.7
2020-01-30,408.2,399.6,403.9
2020-01-29,406.8,397.8,402.3
2020-01-28,405.4,398.7,402.05
2020-01-27,395.3,391.4,393.35
2020-01-24,401.3,396.8,399.05
2020-01-23,403.8,399,401.4
2020-01-22,407,401.3,404.15
2020-01-21,403,399.5,401.25
2020-01-20,401.5,398.7,400.1
2020-01-17,398.8,395.1,396.95
2020-01-16,399,394.6,396.8
2020-01-15,393.4,393,393.2
2020-01-14,389.8,388.5,389.15
2020-01-13,383.2,384.1,383.65
2020-01-10,376.8,379.7,378.25
2020-01-09,367.4,371.5,369.45
2020-01-08,361.3,366.2,363.75
2020-01-07,363.1,368.3,365.7
2020-01-06,364.7,370.1,367.4
2020-01-03,357.2,362.7,359.95
2020-01-02,352.7,358.2,355.45
2019-12-31,359.2,364.6,361.9
2019-12-30,361.4,366.6,364
2019-12-27,361.4,366,363.7
2019-12-24,359.1,364.2,361.65
2019-12-23,357.6,362.5,360.05
2019-12-20,358.5,363.4,360.95
2019-12-19,358.5,363.1,360.8
2019-12-18,355.6,360.1,357.85
2019-12-17,352.7,356.8,354.75
2019-12-16,351.7,356.2,353.95
2019-12-13,355.3,359.9,357.6
2019-12-12,354.3,359.3,356.8
2019-12-11,351.9,357.2,354.55
2019-12-10,352.5,357,354.75
2019-12-09,351.6,355.6,353.6
2019-12-06,347.5,352.6,350.05
2019-12-05,345.3,349.5,347.4
2019-12-04,346.6,350.5,348.55
2019-12-03,344.6,348.5,346.55
2019-12-02,342.3,345.5,343.9
2019-11-29,344.9,347.8,346.35
2019-11-28,343.2,345.7,344.45
2019-11-27,341.6,344.2,342.9
2019-11-26,342.6,345.8,344.2
2019-11-25,342.4,346.2,344.3
2019-11-22,339.9,345.9,342.9
2019-11-21,334.3,340.8,337.55
2019-11-20,336.6,343.5,340.05
2019-11-19,336,343.7,339.85
2019-11-18,340.3,347.2,343.75
2019-11-15,322.7,336.7,329.7
2019-11-14,331.4,340.5,335.95
2019-11-13,334.3,341.7,338
2019-11-12,327.5,333.2,330.35
2019-11-11,332.9,334.9,333.9
2019-11-08,335.2,336.3,335.75
2019-11-07,332.1,333.3,332.7
2019-11-06,338.9,338.1,338.5
2019-11-05,347.8,343.2,345.5
2019-11-04,344.1,339.9,342
2019-11-01,340.1,338.6,339.35
2019-10-31,338.4,338.6,338.5
2019-10-30,340.6,338.3,339.45
2019-10-29,338.5,336.4,337.45
2019-10-28,340.8,337.5,339.15
2019-10-25,337.2,333.6,335.4
2019-10-24,335.5,332.8,334.15
2019-10-23,333.7,331.2,332.45
2019-10-22,335.8,333,334.4
2019-10-21,337.3,333.6,335.45
2019-10-18,335.9,333.4,334.65
2019-10-17,339,335.2,337.1
2019-10-16,341.7,337.6,339.65
2019-10-15,347.6,343.5,345.55
2019-10-14,345.2,341.4,343.3
2019-10-11,339.9,337.8,338.85
2019-10-10,339.2,337.2,338.2
2019-10-09,342.7,338.8,340.75
2019-10-08,341.6,338.9,340.25
2019-10-07,339.6,339.1,339.35
2019-10-04,345.5,344.5,345
2019-10-03,340.6,342.1,341.35
2019-10-02,343,345.6,344.3
2019-10-01,344,346.8,345.4
2019-09-30,344.3,345.4,344.85
2019-09-27,341.4,343.5,342.45
2019-09-26,339.8,341.8,340.8
2019-09-25,339.6,341.4,340.5
2019-09-24,330.9,333.8,332.35
2019-09-23,329.3,331.2,330.25
2019-09-20,325.7,327.6,326.65
2019-09-19,321.9,325.2,323.55
2019-09-18,321,326.1,323.55
2019-09-17,320.8,326,323.4
2019-09-16,321.2,326.7,323.95
2019-09-13,329.4,316.9,323.15
2019-09-12,317,308,312.5
2019-09-11,309.8,308.9,309.35
2019-09-10,301.5,305.9,303.7
2019-09-09,303.3,307.6,305.45
2019-09-06,304.1,309.6,306.85
2019-09-05,302.5,309.8,306.15
2019-09-04,303.2,310.8,307
2019-09-03,304.4,313.2,308.8
2019-09-02,304.9,313.4,309.15
2019-08-30,301.6,311.3,306.45
2019-08-29,304.3,315,309.65
2019-08-28,309.2,319.5,314.35
2019-08-27,306.1,316,311.05
2019-08-23,310.4,320,315.2
2019-08-22,312.1,322.1,317.1
2019-08-21,307.9,317.6,312.75
2019-08-20,309.1,318.8,313.95
2019-08-19,310.4,320.1,315.25
2019-08-16,314.1,323.5,318.8
2019-08-15,313.5,323.3,318.4
2019-08-14,314.7,323.8,319.25
2019-08-13,317.2,326.6,321.9
2019-08-12,314,323.8,318.9
2019-08-09,318.6,328.6,323.6
2019-08-08,310.5,320,315.25
2019-08-07,307.8,318.4,313.1
2019-08-06,316.2,326.4,321.3
2019-08-05,317.8,327.7,322.75
2019-08-02,323.7,332.2,327.95
2019-08-01,325.6,334.6,330.1
2019-07-31,324,333.5,328.75
2019-07-30,323,332.7,327.85
2019-07-29,322.1,332.5,327.3
2019-07-26,321,331.7,326.35
2019-07-25,320,330.5,325.25
2019-07-24,321.2,331.5,326.35
2019-07-23,318.3,329.4,323.85
2019-07-22,315.1,326.6,320.85
2019-07-19,315.7,326.4,321.05
2019-07-18,312.6,322.4,317.5
2019-07-17,312.3,322.9,317.6
2019-07-16,295,314.3,304.65
2019-07-15,294,316,305
2019-07-12,306.8,323.2,315
2019-07-11,317.7,325,321.35
2019-07-10,321.4,327.1,324.25
2019-07-09,319.3,325.4,322.35
2019-07-08,321.5,327.2,324.35
2019-07-05,319.8,326.3,323.05
2019-07-04,320.3,326.7,323.5
2019-07-03,320.7,328.2,324.45
2019-07-02,319.7,325.7,322.7
2019-07-01,326.9,331.7,329.3
2019-06-28,328.4,333.5,330.95
2019-06-27,328.7,334.8,331.75
2019-06-26,319.2,325.4,322.3
2019-06-25,324.1,329.9,327
2019-06-24,323,328.8,325.9
2019-06-21,324.6,330.8,327.7
2019-06-20,331.7,336.6,334.15
2019-06-19,332.7,338.2,335.45
2019-06-18,333.6,339,336.3
2019-06-17,333.1,339.8,336.45
2019-06-14,335,343,339
2019-06-13,335.7,344.1,339.9
2019-06-12,333.7,342.6,338.15
2019-06-11,335.8,343.5,339.65
2019-06-10,333.7,341,337.35
2019-06-07,337.6,344.1,340.85
2019-06-06,339.3,344.1,341.7
2019-06-05,332.1,338.1,335.1
2019-06-04,336.8,342.7,339.75
2019-06-03,330.8,337.2,334
2019-05-31,330.6,335.9,333.25
2019-05-30,323.9,328.7,326.3
2019-05-29,325.9,330.8,328.35
2019-05-28,325.6,329.9,327.75
2019-05-24,324.4,329,326.7
2019-05-23,322.1,326.6,324.35
2019-05-22,322.8,327.6,325.2
2019-05-21,326.3,331,328.65
2019-05-20,323.2,327.7,325.45
2019-05-17,321.5,325.9,323.7
2019-05-16,325.6,329.9,327.75
2019-05-15,326.6,331,328.8
2019-05-14,328.6,332.2,330.4
2019-05-13,326.4,330.3,328.35
2019-05-10,323.6,327.9,325.75
2019-05-09,324.7,328.9,326.8
2019-05-08,321.7,326.6,324.15
2019-05-07,328.3,332.6,330.45
2019-05-03,327.4,332.7,330.05
2019-05-02,329.6,334.8,332.2
2019-05-01,331.7,336.4,334.05
2019-04-30,334.9,340.3,337.6
2019-04-29,334.5,339.9,337.2
2019-04-26,340,345.5,342.75
2019-04-25,340.1,344.6,342.35
2019-04-24,340.3,345.8,343.05
2019-04-23,338.2,343.5,340.85
2019-04-18,338.7,344.8,341.75
