provincia_departamento_id,provincia,departamento,escala,prioridad,limitante,tecnologia
6854,BUENOS AIRES,25 DE MAYO,101 a 500,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,1 a 100,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,Mayor a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,501 a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,101 a 500,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6854,BUENOS AIRES,25 DE MAYO,1 a 100,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6854,BUENOS AIRES,25 DE MAYO,101 a 500,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6854,BUENOS AIRES,25 DE MAYO,1 a 100,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,101 a 500,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,1 a 100,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,Mayor a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,501 a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,101 a 500,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6588,BUENOS AIRES,9 DE JULIO,1 a 100,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6588,BUENOS AIRES,9 DE JULIO,101 a 500,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6588,BUENOS AIRES,9 DE JULIO,1 a 100,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6007,BUENOS AIRES,ADOLFO ALSINA,1 a 100,3,Servicio de entore contínuo,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6007,BUENOS AIRES,ADOLFO ALSINA,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6007,BUENOS AIRES,ADOLFO ALSINA,501 a 1000,2,Falta de asesoramiento técnico,Asociativismo
6007,BUENOS AIRES,ADOLFO ALSINA,101 a 500,2,Falta de asesoramiento técnico,Asociativismo
6007,BUENOS AIRES,ADOLFO ALSINA,101 a 500,3,Servicio de entore contínuo,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6007,BUENOS AIRES,ADOLFO ALSINA,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6007,BUENOS AIRES,ADOLFO ALSINA,Mayor a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6007,BUENOS AIRES,ADOLFO ALSINA,501 a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6007,BUENOS AIRES,ADOLFO ALSINA,501 a 1000,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6007,BUENOS AIRES,ADOLFO ALSINA,Mayor a 1000,2,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6007,BUENOS AIRES,ADOLFO ALSINA,Mayor a 1000,3,Escaso uso de la ia,"Capacitación, Extensión, Asesoramiento"
6007,BUENOS AIRES,ADOLFO ALSINA,1 a 100,2,Falta de asesoramiento técnico,Asociativismo
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,101 a 500,3,Falta de asesoramiento técnico,"Capacitación, Extensión, Asesoramiento"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,1 a 100,3,Falta de asesoramiento técnico,"Capacitación, Extensión, Asesoramiento"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,1 a 100,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,Mayor a 1000,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,101 a 500,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,501 a 1000,1,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,Mayor a 1000,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,101 a 500,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,1 a 100,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6014,BUENOS AIRES,ADOLFO GONZALES CHAVES,501 a 1000,2,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6021,BUENOS AIRES,ALBERTI,101 a 500,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,1 a 100,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,Mayor a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,501 a 1000,1,Baja adopción de tecnología,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,101 a 500,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6021,BUENOS AIRES,ALBERTI,1 a 100,3,Falta de infraestructura zonal/regional,Inversiones en Infraestructura 
6021,BUENOS AIRES,ALBERTI,101 a 500,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6021,BUENOS AIRES,ALBERTI,1 a 100,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6042,BUENOS AIRES,AYACUCHO,Mayor a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6042,BUENOS AIRES,AYACUCHO,101 a 500,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6042,BUENOS AIRES,AYACUCHO,1 a 100,2,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6042,BUENOS AIRES,AYACUCHO,501 a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
6042,BUENOS AIRES,AYACUCHO,101 a 500,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6042,BUENOS AIRES,AYACUCHO,1 a 100,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6042,BUENOS AIRES,AYACUCHO,101 a 500,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6042,BUENOS AIRES,AYACUCHO,1 a 100,3,Inadecuada implementación del plan sanitario,Asesoramiento veterinario (Manejo de Calendario Ganadero)
6042,BUENOS AIRES,AYACUCHO,Mayor a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6042,BUENOS AIRES,AYACUCHO,501 a 1000,1,Inadecuado manejo forrajero,"Ajuste de carga, siembra de pasturas, verdeos y/o suplementación"
6042,BUENOS AIRES,AYACUCHO,Mayor a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6042,BUENOS AIRES,AYACUCHO,501 a 1000,2,Falta capacitación de mano de obra,"Capacitación, Extensión, Asesoramiento"
6049,BUENOS AIRES,AZUL,Mayor a 1000,3,Fertilidad de las vaquillonas de segundo servicio,Asesoramiento veterinario (tacto - diagnóstico de preñez)
