indice_tiempo,ingreso_arroz_cascara_industria
1950-01,4978
1950-02,3076
1950-03,3600
1950-04,662
1950-05,1432
1950-06,6363
1950-07,10245
1950-08,14131
1950-09,10891
1950-10,8178
1950-11,10228
1950-12,8014
1951-01,6975
1951-02,4864
1951-03,4970
1951-04,3281
1951-05,2627
1951-06,6589
1951-07,13693
1951-08,16648
1951-09,16382
1951-10,12821
1951-11,11810
1951-12,8982
1952-01,8816
1952-02,7859
1952-03,8929
1952-04,10788
1952-05,7011
1952-06,9078
1952-07,17749
1952-08,21531
1952-09,22977
1952-10,20645
1952-11,20640
1952-12,17089
1953-01,11890
1953-02,9655
1953-03,9218
1953-04,9625
1953-05,13741
1953-06,18546
1953-07,15446
1953-08,17047
1953-09,15254
1953-10,12096
1953-11,12969
1953-12,14473
1954-01,12128
1954-02,10423
1954-03,9260
1954-04,11566
1954-05,13532
1954-06,17417
1954-07,22605
1954-08,19549
1954-09,17204
1954-10,17330
1954-11,17618
1954-12,17452
1955-01,16283
1955-02,10100
1955-03,14149
1955-04,9778
1955-05,7582
1955-06,14822
1955-07,11985
1955-08,18977
1955-09,17745
1955-10,17914
1955-11,18352
1955-12,17157
1956-01,11236
1956-02,9099
1956-03,12751
1956-04,10597
1956-05,13630
1956-06,17721
1956-07,21887
1956-08,24691
1956-09,18112
1956-10,16941
1956-11,17318
1956-12,16175
1957-01,14387
1957-02,10100
1957-03,7242
1957-04,7136
1957-05,10519
1957-06,15531
1957-07,20851
1957-08,17876
1957-09,16698
1957-10,16478
1957-11,14658
1957-12,11796
1958-01,10795
1958-02,11315
1958-03,8741
1958-04,10779
1958-05,17319
1958-06,23269
1958-07,25703
1958-08,23531
1958-09,20621
1958-10,20026
1958-11,15677
1958-12,15292
1959-01,12298
1959-02,8489
1959-03,8216
1959-04,9532
1959-05,9160
1959-06,9811
1959-07,16679
1959-08,15370
1959-09,11744
1959-10,8845
1959-11,6801
1959-12,7640
1960-01,9181
1960-02,9577
1960-03,10663
1960-04,11131
1960-05,16069
1960-06,13653
1960-07,10543
1960-08,11807
1960-09,10101
1960-10,10269
1960-11,10306
1960-12,10668
1961-01,11499
1961-02,10790
1961-03,10767
1961-04,8741
1961-05,13895
1961-06,13021
1961-07,13304
1961-08,13410
1961-09,11672
1961-10,9082
1961-11,6567
1961-12,9607
1962-01,9271
1962-02,9368
1962-03,11211
1962-04,10426
1962-05,16946
1962-06,20593
1962-07,19192
1962-08,20098
1962-09,17202
1962-10,16049
1962-11,15214
1962-12,11919
1963-01,9678
1963-02,8877
1963-03,9212
1963-04,12532
1963-05,19049
1963-06,18266
1963-07,16538
1963-08,14826
1963-09,10692
1963-10,11236
1963-11,12146
1963-12,11852
1964-01,10311
1964-02,8800
1964-03,9888
1964-04,12750
1964-05,18420
1964-06,20743
1964-07,19146
1964-08,14987
1964-09,14130
1964-10,14530
1964-11,13724
1964-12,10800
1965-01,10016
1965-02,12665
1965-03,12688
1965-04,12806
1965-05,19622
1965-06,21027
1965-07,16923
1965-08,16787
1965-09,23995
1965-10,20298
1965-11,25527
1965-12,24947
1966-01,19095
1966-02,18705
1966-03,16675
1966-04,17746
1966-05,17343
1966-06,16913
1966-07,18884
1966-08,19338
1966-09,20279
1966-10,16536
1966-11,14722
1966-12,12621
1967-01,8789
1967-02,10218
1967-03,9409
1967-04,18380
1967-05,23696
1967-06,25762
1967-07,24999
1967-08,23561
1967-09,18778
1967-10,13789
1967-11,14279
1967-12,11840
1968-01,11185
1968-02,8359
1968-03,9486
1968-04,18202
1968-05,31024
1968-06,33171
1968-07,26730
1968-08,22432
1968-09,19709
1968-10,17865
1968-11,12833
1968-12,13966
1969-01,11052
1969-02,6744
1969-03,13225
1969-04,21535
1969-05,25044
1969-06,24221
1969-07,25280
1969-08,33646
1969-09,29693
1969-10,26205
1969-11,18810
1969-12,15177
1970-01,14151
1970-02,18446
1970-03,23503
1970-04,31237
1970-05,30463
1970-06,32515
1970-07,29655
1970-08,28514
1970-09,22860
1970-10,22941
1970-11,23139
1970-12,22952
1971-01,20354
1971-02,23459
1971-03,24705
1971-04,30056
1971-05,28171
1971-06,29800
1971-07,24943
1971-08,23463
1971-09,19153
1971-10,18945
1971-11,23318
1971-12,22428
1972-01,15966
1972-02,18192
1972-03,17214
1972-04,21521
1972-05,26101
1972-06,22747
1972-07,22258
1972-08,21578
1972-09,16959
1972-10,15524
1972-11,12344
1972-12,10584
1973-01,9924
1973-02,12296
1973-03,17368
1973-04,16332
1973-05,22584
1973-06,13757
1973-07,12841
1973-08,18828
1973-09,19454
1973-10,25076
1973-11,31479
1973-12,19565
1974-01,14224
1974-02,19375
1974-03,22191
1974-04,19967
1974-05,21209
1974-06,18660
1974-07,18102
1974-08,26979
1974-09,20605
1974-10,15370
1974-11,14902
1974-12,26985
1975-01,27666
1975-02,22933
1975-03,29639
1975-04,23132
1975-05,27191
1975-06,29106
1975-07,21290
1975-08,29056
1975-09,24023
1975-10,24876
1975-11,23853
1975-12,28138
1976-01,27501
1976-02,31915
1976-03,30676
1976-04,22533
1976-05,21991
1976-06,13114
1976-07,14939
1976-08,18991
1976-09,22446
1976-10,26916
1976-11,27709
1976-12,26430
1977-01,32440
1977-02,32497
1977-03,23971
1977-04,26639
1977-05,39237
1977-06,38148
1977-07,38531
1977-08,26333
1977-09,27090
1977-10,18829
1977-11,14965
1977-12,13111
1978-01,9717
1978-02,10457
1978-03,18733
1978-04,28751
1978-05,40473
1978-06,26861
1978-07,31688
1978-08,35778
1978-09,18431
1978-10,15087
1978-11,14720
1978-12,9717
1979-01,18297
1979-02,22010
1979-03,18454
1979-04,27047
1979-05,28026
1979-06,23482
1979-07,21878
1979-08,24715
1979-09,19061
1979-10,21258
1979-11,20906
1979-12,21921
1980-01,12707
1980-02,12473
1980-03,14123
1980-04,23648
1980-05,24838
1980-06,28998
1980-07,36499
1980-08,27862
1980-09,22898
1980-10,13954
1980-11,10215
1980-12,13075
1981-01,12442
1981-02,15354
1981-03,21790
1981-04,36294
1981-05,38504
1981-06,47713
1981-07,51046
1981-08,32542
1981-09,25497
1981-10,20512
1981-11,16247
1981-12,8990
1982-01,8653
1982-02,9314
1982-03,15449
1982-04,37637
1982-05,51457
1982-06,43747
1982-07,31870
1982-08,29491
1982-09,22710
1982-10,23034
1982-11,18611
1982-12,22543
1983-01,17762
1983-02,15819
1983-03,25913
1983-04,37193
1983-05,37649
1983-06,40021
1983-07,34693
1983-08,33409
1983-09,30941
1983-10,23974
1983-11,17051
1983-12,14377
1984-01,13477
1984-02,20328
1984-03,22169
1984-04,37453
1984-05,45074
1984-06,47783
1984-07,47531
1984-08,49304
1984-09,44297
1984-10,34725
1984-11,26750
1984-12,24729
1985-01,18888
1985-02,15848
1985-03,22809
1985-04,37946
1985-05,47817
1985-06,41672
1985-07,44217
1985-08,42571
1985-09,36721
1985-10,33068
1985-11,26447
1985-12,15507
1986-01,12504
1986-02,13410
1986-03,30397
1986-04,50228
1986-05,53103
1986-06,41553
1986-07,52817
1986-08,64025
1986-09,38819
1986-10,27751
1986-11,25451
1986-12,21273
1987-01,19490
1987-02,20617
1987-03,35140
1987-04,32606
1987-05,35503
1987-06,46811
1987-07,35238
1987-08,36632
1987-09,38264
1987-10,23549
1987-11,16829
1987-12,22968
1988-01,15584
1988-02,15525
1988-03,35002
1988-04,40018
