indice_tiempo,precio_futuro_londres_marzo,precio_futuro_londres_mayo,precio_futuro_londres_agosto,precio_futuro_londres_octubre,precio_futuro_londres_diciembre,precio_futuro_nueva_york_marzo,precio_futuro_nueva_york_mayo,precio_futuro_nueva_york_julio,precio_futuro_nueva_york_octubre
2013-01-02,528.40,532.50,,,,19.69,19.76,19.89,
2013-01-03,514.60,519.90,,,,19.10,19.23,19.40,
2013-01-04,510.40,515.60,,,,18.85,19.00,19.19,
2013-01-05,,,,,,,,,
2013-01-06,,,,,,,,,
2013-01-07,510.80,517.40,,,,18.86,19.08,19.31,
2013-01-08,505.80,513.00,,,,18.67,18.94,19.22,
2013-01-09,507.00,513.80,,,,18.72,18.98,19.26,
2013-01-10,512.50,519.70,,,,18.96,19.21,19.50,
2013-01-11,514.80,521.50,,,,19.17,19.36,19.63,
2013-01-12,,,,,,,,,
2013-01-13,,,,,,,,,
2013-01-14,507.70,515.60,,,,18.90,19.14,19.46,
2013-01-15,502.00,510.50,,,,18.62,18.87,19.23,
2013-01-16,499.60,507.60,,,,18.45,18.68,19.06,
2013-01-17,497.50,505.00,,,,18.42,18.60,18.92,
2013-01-18,492.00,502.10,,,,18.37,18.52,18.84,
2013-01-19,,,,,,,,,
2013-01-20,,,,,,,,,
2013-01-21,489.80,500.00,,,,,,,
2013-01-22,483.20,495.10,,,,18.12,18.24,18.55,
2013-01-23,489.60,502.10,,,,18.50,18.53,18.79,
2013-01-24,487.30,500.50,,,,18.49,18.46,18.73,
2013-01-25,486.70,499.70,,,,18.38,18.42,18.76,
2013-01-26,,,,,,,,,
2013-01-27,,,,,,,,,
2013-01-28,494.40,505.80,,,,18.73,18.72,19.04,
2013-01-29,487.80,499.40,,,,18.38,18.44,18.77,
2013-01-30,496.80,506.70,,,,18.71,18.74,19.04,
2013-01-31,499.40,509.20,,,,18.78,18.84,19.14,
2013-02-01,502.50,511.60,,,,18.89,18.93,19.21,
2013-02-02,,,,,,,,,
2013-02-03,,,,,,,,,
2013-02-04,498.50,507.60,,,,18.73,18.77,19.00,
2013-02-05,496.80,506.30,,,,18.56,18.64,18.93,
2013-02-06,492.70,496.60,,,,18.19,18.22,18.49,
2013-02-07,492.70,496.60,,,,18.16,18.20,18.46,
2013-02-08,485.40,496.00,,,,18.14,18.20,18.44,
2013-02-09,,,,,,,,,
2013-02-10,,,,,,,,,
2013-02-11,488.50,500.00,,,,18.44,18.46,18.66,
2013-02-12,484.10,493.10,,,,18.08,18.07,18.28,
2013-02-13,497.30,495.50,,,,18.23,18.20,18.41,
2013-02-14,490.40,492.50,,,,17.94,17.77,17.97,
2013-02-15,490.30,491.20,,,,18.00,17.74,17.89,
2013-02-16,,,,,,,,,
2013-02-17,,,,,,,,,
2013-02-18,497.90,496.40,,,,,,,
2013-02-19,495.60,494.70,,,,18.22,17.96,18.07,
2013-02-20,501.20,499.30,,,,18.35,18.13,18.23,
2013-02-21,498.00,496.96,,,,18.12,17.90,18.07,
2013-02-22,505.50,503.10,,,,18.24,18.15,18.31,
2013-02-23,,,,,,,,,
2013-02-24,,,,,,,,,
2013-02-25,505.50,502.00,,,,18.01,18.09,18.31,
2013-02-26,508.80,503.90,,,,17.79,18.05,18.26,
2013-02-27,513.40,505.40,,,,17.84,18.08,18.25,
2013-02-28,519.70,510.80,,,,18.39,18.46,18.90,
2013-03-01,513.90,502.50,,,,17.91,18.02,18.49,
2013-03-02,,,,,,,,,
2013-03-03,,,,,,,,,
2013-03-04,515.60,504.90,,,,18.08,18.15,18.60,
2013-03-05,516.70,506.80,,,,18.19,18.25,18.67,
2013-03-06,518.20,505.40,,,,18.20,18.17,18.58,
2013-03-07,532.60,516.20,,,,18.77,18.63,18.98,
2013-03-08,534.10,517.60,,,,18.75,18.61,18.91,
2013-03-09,,,,,,,,,
2013-03-10,,,,,,,,,
2013-03-11,535.20,520.30,,,,18.82,18.79,19.09,
2013-03-12,534.80,520.80,,,,18.82,18.75,19.04,
2013-03-13,533.90,519.40,,,,18.80,18.75,19.03,
2013-03-14,537.20,521.30,,,,18.84,18.80,19.07,
2013-03-15,539.40,522.40,,,,18.89,18.85,19.12,
2013-03-16,,,,,,,,,
2013-03-17,,,,,,,,,
2013-03-18,,527.40,512.40,,,,18.29,18.33,18.70
2013-03-19,,529.80,513.60,,,,18.31,18.39,18.80
