indice_tiempo,ingreso_grano_mani,produccion_aceite_mani,produccion_pellets_mani
1950-01,2661,,
1950-02,2517,,
1950-03,4043,,
1950-04,1843,,
1950-05,3305,,
1950-06,3076,,
1950-07,3614,,
1950-08,1888,,
1950-09,5543,,
1950-10,3185,,
1950-11,3461,,
1950-12,1900,,
1951-01,1249,,
1951-02,3915,,
1951-03,2798,,
1951-04,3195,,
1951-05,898,,
1951-06,1325,,
1951-07,2720,,
1951-08,2366,,
1951-09,4369,,
1951-10,4027,,
1951-11,4281,,
1951-12,5334,,
1952-01,3602,,
1952-02,5169,,
1952-03,5434,,
1952-04,7113,,
1952-05,1462,,
1952-06,4162,,
1952-07,5540,,
1952-08,4372,,
1952-09,7484,,
1952-10,12041,,
1952-11,9846,,
1952-12,15364,,
1953-01,14118,,
1953-02,5872,,
1953-03,6441,,
1953-04,1829,,
1953-05,269,,
1953-06,3952,,
1953-07,8506,,
1953-08,8644,,
1953-09,8935,,
1953-10,13556,,
1953-11,10319,,
1953-12,8387,,
1954-01,3818,,
1954-02,1520,,
1954-03,629,,
1954-04,448,,
1954-05,0,,
1954-06,426,,
1954-07,2655,,
1954-08,3107,,
1954-09,2714,,
1954-10,11049,,
1954-11,22593,,
1954-12,28856,,
1955-01,19100,,
1955-02,5245,,
1955-03,7553,,
1955-04,3704,,
1955-05,913,,
1955-06,1337,,
1955-07,1068,,
1955-08,4165,,
1955-09,9213,,
1955-10,9587,,
1955-11,10232,,
1955-12,6867,,
1956-01,6298,,
1956-02,1755,,
1956-03,2672,,
1956-04,814,,
1956-05,2313,,
1956-06,3452,,
1956-07,6521,,
1956-08,16004,,
1956-09,16872,,
1956-10,16990,,
1956-11,14786,,
1956-12,9634,,
1957-01,9312,,
1957-02,8005,,
1957-03,7983,,
1957-04,3552,,
1957-05,3392,,
1957-06,6036,,
1957-07,11358,,
1957-08,20194,,
1957-09,16612,,
1957-10,22103,,
1957-11,22102,,
1957-12,17061,,
1958-01,19039,,
1958-02,15022,,
1958-03,19951,,
1958-04,11660,,
1958-05,13865,,
1958-06,21866,,
1958-07,25365,,
1958-08,25214,,
1958-09,36865,,
1958-10,40171,,
1958-11,24935,,
1958-12,18168,,
1959-01,7793,,
1959-02,6994,,
1959-03,9083,,
1959-04,2265,,
1959-05,3567,,
1959-06,14956,,
1959-07,12669,,
1959-08,14054,,
1959-09,12727,,
1959-10,12314,,
1959-11,10947,,
1959-12,6126,,
1960-01,10912,,
1960-02,5161,,
1960-03,6240,,
1960-04,2101,,
1960-05,10950,,
1960-06,21231,,
1960-07,29515,,
1960-08,28522,,
1960-09,18323,,
1960-10,14501,,
1960-11,11561,,
1960-12,8776,,
1961-01,10173,,
1961-02,8137,,
1961-03,7665,,
1961-04,1957,,
1961-05,18128,,
1961-06,24067,,
1961-07,22338,,
1961-08,30063,,
1961-09,23567,,
1961-10,14773,,
1961-11,9808,,
1961-12,8855,,
1962-01,4051,,
1962-02,3893,,
1962-03,1775,,
1962-04,5561,,
1962-05,15355,,
1962-06,26819,,
1962-07,37691,,
1962-08,36606,,
1962-09,34841,,
1962-10,37614,,
1962-11,32730,,
1962-12,17432,,
1963-01,14419,,
1963-02,8535,,
1963-03,3861,,
1963-04,10598,,
1963-05,21439,,
1963-06,23327,,
1963-07,32817,,
1963-08,28624,,
1963-09,33288,,
1963-10,26592,,
1963-11,20043,,
1963-12,11616,,
1964-01,5814,,
1964-02,1378,,
1964-03,310,,
1964-04,15062,,
1964-05,22464,,
1964-06,28498,,
1964-07,30718,,
1964-08,27915,,
1964-09,30313,,
1964-10,25147,,
1964-11,22064,,
1964-12,10659,,
1965-01,8645,0,0
1965-02,4881,0,0
1965-03,759,0,0
1965-04,15613,0,0
1965-05,27404,9479,5783
1965-06,26823,8974,2063
1965-07,28989,9685,3691
1965-08,28126,9503,3105
1965-09,29637,10160,3891
1965-10,29161,10042,4099
1965-11,33361,11573,6690
1965-12,25715,8704,3489
1966-01,18693,6377,795
1966-02,18642,6280,273
1966-03,11723,3916,742
1966-04,11788,4016,495
1966-05,22833,7709,2153
1966-06,43324,15010,3595
1966-07,44104,15218,4310
1966-08,31276,10875,3150
1966-09,27655,9647,3178
1966-10,24781,8774,7346
1966-11,21876,7675,5495
1966-12,11748,4112,2210
1967-01,10723,3788,1118
1967-02,496,157,0
1967-03,1421,468,0
1967-04,7321,2492,808
1967-05,35229,12266,4799
1967-06,35397,12231,2954
1967-07,33754,11480,2768
1967-08,27645,9305,710
1967-09,15837,5370,435
1967-10,17060,5996,2674
1967-11,12851,4479,953
1967-12,10749,3844,2702
1968-01,10377,3826,2126
1968-02,4720,1679,203
1968-03,2052,745,103
1968-04,13344,4578,570
1968-05,25932,9039,1705
1968-06,26898,9229,2633
1968-07,23830,8026,2843
1968-08,19975,6799,1890
1968-09,16510,5569,1009
