id_pais,nom_pais,año ,mes,primer_quartil,segundo_quartil,tercer_quartil,cuarto_quartil,total_paquetes
32,Argentina,2005,Enero,7.33,0,28.04,64.63,100
32,Argentina,2005,Febrero,7.08,0.01,27.51,65.41,100
32,Argentina,2005,Marzo,8.16,0,27.1,64.73,100
32,Argentina,2005,Abril,8.87,0,41.32,49.8,100
32,Argentina,2005,Mayo,8.93,0,41.56,49.51,100
32,Argentina,2005,Junio,9.91,0,40.55,49.54,100
32,Argentina,2005,Julio ,10.48,0.04,39.97,49.51,100
32,Argentina,2005,Agosto,10.47,0,39.45,50.07,100
32,Argentina,2005,Septiembre,10.35,1.09,26.01,62.56,100
32,Argentina,2005,Octubre,8.55,7.93,23.59,59.93,100
32,Argentina,2005,Noviembre,6.52,14.59,21.92,56.97,100
32,Argentina,2005,Diciembre,16.05,6.62,31.64,45.68,100
32,Argentina,2006,Enero,17.94,7.92,31.41,42.74,100
32,Argentina,2006,Febrero,16.01,18.54,29.15,36.3,100
32,Argentina,2006,Marzo,4.81,37.35,25.74,32.09,100
32,Argentina,2006,Abril,3.69,38.25,28.18,29.89,100
32,Argentina,2006,Mayo,4.64,38.69,27.68,28.99,100
32,Argentina,2006,Junio,4.48,38.94,27.37,29.21,100
32,Argentina,2006,Julio ,2.49,40.82,27.73,28.95,100
32,Argentina,2006,Agosto,4.33,31.97,33.43,30.27,100
32,Argentina,2006,Septiembre,3.94,15.53,47.5,33.03,100
32,Argentina,2006,Octubre,3.91,14.36,48.39,33.34,100
32,Argentina,2006,Noviembre,3.78,60.81,35.41,0,100
32,Argentina,2006,Diciembre,4.41,13.46,47.93,34.2,100
32,Argentina,2007,Enero,1.77,14.9,48.76,34.56,100
32,Argentina,2007,Febrero,1.9,15.91,48.04,34.15,100
32,Argentina,2007,Marzo,1.63,15.84,39.59,42.95,100
32,Argentina,2007,Abril,1.86,15.81,39.31,43.03,100
32,Argentina,2007,Mayo,1.71,15.55,39.47,43.26,100
32,Argentina,2007,Junio,1.89,15.72,48.22,34.18,100
32,Argentina,2007,Julio ,1.71,15.24,47.92,35.13,100
32,Argentina,2007,Agosto,1.25,14.74,48.58,35.42,100
32,Argentina,2007,Septiembre,1.29,14.87,48.14,35.7,100
32,Argentina,2007,Octubre,1.26,14.84,48.51,35.39,100
32,Argentina,2007,Noviembre,1.21,14.89,45.02,38.89,100
32,Argentina,2007,Diciembre,0.99,14.65,31.19,53.17,100
32,Argentina,2008,Enero,1.04,11.12,35.48,52.36,100
32,Argentina,2008,Febrero,1.31,10.25,34.98,53.46,100
32,Argentina,2008,Marzo,1.23,10.74,34.62,53.41,100
32,Argentina,2008,Abril,1.36,13.59,49.93,35.12,100
32,Argentina,2008,Mayo,1.32,12.77,50.4,35.5,100
32,Argentina,2008,Junio,1.41,13.37,49.5,35.72,100
32,Argentina,2008,Julio ,1,11.96,44.55,42.48,100
32,Argentina,2008,Agosto,1.37,9.17,36.11,53.35,100
32,Argentina,2008,Septiembre,1.03,9.24,36.39,53.34,100
32,Argentina,2008,Octubre,0.88,12.92,56.24,29.96,100
32,Argentina,2008,Noviembre,1.01,13.13,51.6,34.26,100
32,Argentina,2008,Diciembre,0.72,12.96,51.6,34.72,100
32,Argentina,2009,Enero,1.06,12.68,48.24,38.02,100
32,Argentina,2009,Febrero,1.1,0.36,46.66,51.88,100
32,Argentina,2009,Marzo,2.43,74.6,22.95,0.02,100
32,Argentina,2009,Abril,3.31,56.47,40.22,0,100
32,Argentina,2009,Mayo,1.06,55.81,43.11,0.03,100
32,Argentina,2009,Junio,1.08,56.12,42.78,0.02,100
32,Argentina,2009,Julio ,1.07,53.96,44.93,0.04,100
32,Argentina,2009,Agosto,1.28,45.47,53.24,0.01,100
32,Argentina,2009,Septiembre,0.14,1.99,44.3,53.57,100
