cod_pais;nom_pais;año;producto;unidad_id;nom_unidad;enero;febrero;marzo;abril;mayo ;junio;julio;agosto;septiembre;octubre;noviembre;diciembre
32;Argentina;1950;arroz con cascara;t;tonelada;4978;3076;3600;662;1432;6363;10245;14131;10891;8178;10228;8014
32;Argentina;1951;arroz con cascara;t;tonelada;6975;4864;4970;3281;2627;6589;13693;16648;16382;12821;11810;8982
32;Argentina;1952;arroz con cascara;t;tonelada;8816;7859;8929;10788;7011;9078;17749;21531;22977;20645;20640;17089
32;Argentina;1953;arroz con cascara;t;tonelada;11890;9655;9218;9625;13741;18546;15446;17047;15254;12096;12969;14473
32;Argentina;1954;arroz con cascara;t;tonelada;12128;10423;9260;11566;13532;17417;22605;19549;17204;17330;17618;17452
32;Argentina;1955;arroz con cascara;t;tonelada;16283;10100;14149;9778;7582;14822;11985;18977;17745;17914;18352;17157
32;Argentina;1956;arroz con cascara;t;tonelada;11236;9099;12751;10597;13630;17721;21887;24691;18112;16941;17318;16175
32;Argentina;1957;arroz con cascara;t;tonelada;14387;10100;7242;7136;10519;15531;20851;17876;16698;16478;14658;11796
32;Argentina;1958;arroz con cascara;t;tonelada;10795;11315;8741;10779;17319;23269;25703;23531;20621;20026;15677;15292
32;Argentina;1959;arroz con cascara;t;tonelada;12298;8489;8216;9532;9160;9811;16679;15370;11744;8845;6801;7640
32;Argentina;1960;arroz con cascara;t;tonelada;9181;9577;10663;11131;16069;13653;10543;11807;10101;10269;10306;10668
32;Argentina;1961;arroz con cascara;t;tonelada;11499;10790;10767;8741;13895;13021;13304;13410;11672;9082;6567;9607
32;Argentina;1962;arroz con cascara;t;tonelada;9271;9368;11211;10426;16946;20593;19192;20098;17202;16049;15214;11919
32;Argentina;1963;arroz con cascara;t;tonelada;9678;8877;9212;12532;19049;18266;16538;14826;10692;11236;12146;11852
32;Argentina;1964;arroz con cascara;t;tonelada;10311;8800;9888;12750;18420;20743;19146;14987;14130;14530;13724;10800
32;Argentina;1965;arroz con cascara;t;tonelada;10016;12665;12688;12806;19622;21027;16923;16787;23995;20298;25527;24947
32;Argentina;1966;arroz con cascara;t;tonelada;19095;18705;16675;17746;17343;16913;18884;19338;20279;16536;14722;12621
32;Argentina;1967;arroz con cascara;t;tonelada;8789;10218;9409;18380;23696;25762;24999;23561;18778;13789;14279;11840
32;Argentina;1968;arroz con cascara;t;tonelada;11185;8359;9486;18202;31024;33171;26730;22432;19709;17865;12833;13966
32;Argentina;1969;arroz con cascara;t;tonelada;11052;6744;13225;21535;25044;24221;25280;33646;29693;26205;18810;15177
32;Argentina;1970;arroz con cascara;t;tonelada;14151;18446;23503;31237;30463;32515;29655;28514;22860;22941;23139;22952
32;Argentina;1971;arroz con cascara;t;tonelada;20354;23459;24705;30056;28171;29800;24943;23463;19153;18945;23318;22428
32;Argentina;1972;arroz con cascara;t;tonelada;15966;18192;17214;21521;26101;22747;22258;21578;16959;15524;12344;10584
32;Argentina;1973;arroz con cascara;t;tonelada;9924;12296;17368;16332;22584;13757;12841;18828;19454;25076;31479;19565
32;Argentina;1974;arroz con cascara;t;tonelada;14224;19375;22191;19967;21209;18660;18102;26979;20605;15370;14902;26985
32;Argentina;1975;arroz con cascara;t;tonelada;27666;22933;29639;23132;27191;29106;21290;29056;24023;24876;23853;28138
32;Argentina;1976;arroz con cascara;t;tonelada;27501;31915;30676;22533;21991;13114;14939;18991;22446;26916;27709;26430
32;Argentina;1977;arroz con cascara;t;tonelada;32440;32497;23971;26639;39237;38148;38531;26333;27090;18829;14965;13111
32;Argentina;1978;arroz con cascara;t;tonelada;9717;10457;18733;28751;40473;26861;31688;35778;18431;15087;14720;9717
32;Argentina;1979;arroz con cascara;t;tonelada;18297;22010;18454;27047;28026;23482;21878;24715;19061;21258;20906;21921
32;Argentina;1980;arroz con cascara;t;tonelada;12707;12473;14123;23648;24838;28998;36499;27862;22898;13954;10215;13075
32;Argentina;1981;arroz con cascara;t;tonelada;12442;15354;21790;36294;38504;47713;51046;32542;25497;20512;16247;8990
