fecha,azucar_precio_nueva_york_contrato1,azucar_precio_nueva_york_contrato2,azucar_precio_nueva_york_promedio
2020-06-16,12.19,12.28,12.24
2020-06-15,12.04,12.13,12.09
2020-06-12,11.87,12.04,11.96
2020-06-11,11.94,12.1,12.02
2020-06-10,12.23,12.38,12.31
2020-06-09,12,12.16,12.08
2020-06-08,11.94,12.03,11.99
2020-06-05,12.02,12.09,12.06
2020-06-04,11.73,11.8,11.77
2020-06-03,11.62,11.7,11.66
2020-06-02,11.22,11.3,11.26
2020-06-01,11,11.08,11.04
2020-05-29,10.91,10.97,10.94
2020-05-28,10.8,10.91,10.86
2020-05-27,10.8,10.94,10.87
2020-05-26,11.05,11.1,11.08
2020-05-22,10.93,10.93,10.93
2020-05-21,10.98,11,10.99
2020-05-20,11.19,11.16,11.18
2020-05-19,10.85,10.9,10.88
2020-05-18,10.8,10.9,10.85
2020-05-15,10.38,10.5,10.44
2020-05-14,10.46,10.56,10.51
2020-05-13,10.26,10.44,10.35
2020-05-12,10.25,10.45,10.35
2020-05-11,10.12,10.34,10.23
2020-05-08,10.29,10.5,10.40
2020-05-07,10.33,10.56,10.45
2020-05-06,10.27,10.53,10.40
2020-05-05,10.78,11.02,10.90
2020-05-04,10.4,10.65,10.53
2020-05-01,10.97,11.2,11.09
2020-04-30,10.39,10.37,10.38
2020-04-29,9.76,9.92,9.84
2020-04-28,9.34,9.52,9.43
2020-04-27,9.21,9.38,9.30
2020-04-24,9.73,9.81,9.77
2020-04-23,9.84,10.01,9.93
2020-04-22,9.83,10.01,9.92
2020-04-21,9.75,10.01,9.88
2020-04-20,10.06,10.26,10.16
2020-04-17,10.37,10.53,10.45
2020-04-16,10.16,10.33,10.25
2020-04-15,10.16,10.28,10.22
2020-04-14,10.05,10.25,10.15
2020-04-13,10.17,10.29,10.23
2020-04-09,10.43,10.49,10.46
2020-04-08,10.37,10.39,10.38
2020-04-07,10.38,10.38,10.38
2020-04-06,10.45,10.42,10.44
2020-04-03,10.31,10.33,10.32
2020-04-02,10.29,10.32,10.31
2020-04-01,10.04,10.08,10.06
2020-03-31,10.42,10.5,10.46
2020-03-30,10.73,10.77,10.75
2020-03-27,11.1,11.05,11.08
2020-03-26,11.33,11.22,11.28
2020-03-25,11.41,11.27,11.34
2020-03-24,11.27,11.11,11.19
2020-03-23,11.04,10.9,10.97
2020-03-20,10.91,10.83,10.87
2020-03-19,10.59,10.54,10.57
2020-03-18,10.67,10.63,10.65
2020-03-17,10.89,10.86,10.88
2020-03-16,11.09,11.06,11.08
2020-03-13,11.7,11.64,11.67
2020-03-12,11.62,11.63,11.63
2020-03-11,12.26,12.25,12.26
2020-03-10,12.59,12.53,12.56
2020-03-09,12.61,12.58,12.60
2020-03-06,13.02,13.02,13.02
2020-03-05,13.42,13.39,13.41
2020-03-04,13.47,13.47,13.47
2020-03-03,13.76,13.74,13.75
2020-03-02,13.81,13.81,13.81
2020-02-28,14.46,14.14,14.30
2020-02-27,14.39,14.2,14.30
2020-02-26,14.79,14.54,14.67
2020-02-25,15.15,14.74,14.95
2020-02-24,15.27,14.73,15.00
2020-02-21,15.59,15.12,15.36
2020-02-20,15.4,14.94,15.17
2020-02-19,15.58,15.08,15.33
2020-02-18,15.28,14.87,15.08
2020-02-14,15.06,14.55,14.81
2020-02-13,15.16,14.78,14.97
2020-02-12,15.78,15.06,15.42
2020-02-11,15.41,15.04,15.23
2020-02-10,15.04,14.74,14.89
2020-02-07,14.92,14.69,14.81
2020-02-06,14.74,14.54,14.64
2020-02-05,14.73,14.51,14.62
2020-02-04,14.71,14.49,14.60
2020-02-03,14.89,14.6,14.75
2020-01-31,14.61,14.35,14.48
2020-01-30,14.59,14.31,14.45
2020-01-29,14.49,14.32,14.41
2020-01-28,14.54,14.4,14.47
2020-01-27,14.21,14.13,14.17
2020-01-24,14.39,14.32,14.36
2020-01-23,14.57,14.47,14.52
2020-01-22,14.66,14.57,14.62
2020-01-21,14.55,14.49,14.52
2020-01-17,14.45,14.4,14.43
2020-01-16,14.43,14.38,14.41
2020-01-15,14.52,14.48,14.50
2020-01-14,14.32,14.31,14.32
2020-01-13,14.16,14.15,14.16
2020-01-10,14.07,14.07,14.07
2020-01-09,13.71,13.76,13.74
2020-01-08,13.47,13.56,13.52
2020-01-07,13.59,13.67,13.63
2020-01-06,13.73,13.79,13.76
