pais_id,pais,provincia_id,provincia,departamento_id,departamento,link,sup_eap,rieg_tot,gravit,asper,loc_got,loc_mic,loc_ot,sin_disc,p_sup_rega
032,Argentina,6,Buenos Aires,00,San Fernando (Islas),0,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,001,Comuna 01,2001,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,002,Comuna 02,2002,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,003,Comuna 03,2003,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,004,Comuna 04,2004,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,005,Comuna 05,2005,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,006,Comuna 06,2006,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,6,Buenos Aires,007,Adolfo Alsina,6007,450109,7,-1,7,-1,-1,-1,-1,0.00
032,Argentina,42,La Pampa,007,Atreuco,42007,381172.5,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,46,La Rioja,007,Arauco,46007,18212.8,9964.4,1738.3,-1,8165,60,1.1,-1,54.71
032,Argentina,38,Jujuy,007,Cochinoca,38007,177192.9,9.2,9.2,-1,-1,-1,-1,-1,0.01
032,Argentina,34,Formosa,007,Bermejo,34007,615191.7,1042,22,1020,-1,-1,-1,-1,0.17
032,Argentina,66,Salta,007,Anta,66007,1065854.7,57563.6,37933.4,17575,1965.2,-1,90,-1,5.40
032,Argentina,22,Chaco,007,Almirante Brown,22007,517819,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,90,Tucuman,007,Burruyacu,90007,352336.9,7856.5,5159,689,705,1230,73.5,-1,2.23
032,Argentina,10,Catamarca,007,Ambato,10007,148610.5,1795.1,892.6,-1,572,330.5,-1,-1,1.21
032,Argentina,54,Misiones,007,Apostoles,54007,108516,53,4,35,-1,3.5,10.5,-1,0.05
032,Argentina,18,Corrientes,007,Bella Vista,18007,123507.9,1795.4,1015.1,46.4,566.1,8.8,159,-1,1.45
032,Argentina,86,Santiago Del Estero,007,Aguirre,86007,252711,225,50,-1,-1,-1,175,-1,0.09
032,Argentina,70,San Juan,007,Albardon,70007,6834.3,2552.2,1566.8,372.9,0,612.5,-1,-1,37.34
032,Argentina,14,Cordoba,007,Calamuchita,14007,272317.7,347,23,324,-1,-1,-1,-1,0.13
032,Argentina,74,San Luis,007,Ayacucho,74007,506925.5,3018.6,748.6,2270,-1,-1,-1,-1,0.60
032,Argentina,82,Santa Fe,007,Belgrano,82007,226552.3,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,50,Mendoza,007,Capital,50007,1.7,1.6,1.6,-1,0,-1,-1,-1,94.12
032,Argentina,2,Caba,007,Comuna 07,2007,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,58,Neuquen,007,Alumine,58007,131900.7,39.9,5.1,7.3,3.2,-1,24.3,-1,0.03
032,Argentina,62,Rio Negro,007,Adolfo Alsina,62007,698121,9768.4,9583.5,-1,184.9,-1,-1,-1,1.40
032,Argentina,26,Chubut,007,Biedma,26007,1185525.2,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,78,Santa Cruz,007,Corpen Aike,78007,2410530,3210,-1,3210,-1,-1,-1,-1,0.13
032,Argentina,94,Tierra Del Fuego,007,Rio Grande,94007,1069059,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,30,Entre Rios,008,Colon,30008,248531.2,6384.7,5849,12.5,288.2,235,-1,-1,2.57
032,Argentina,2,Caba,008,Comuna 08,2008,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,009,Comuna 09,2009,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,010,Comuna 10,2010,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,011,Comuna 11,2011,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,012,Comuna 12,2012,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,2,Caba,013,Comuna 13,2013,-1,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,18,Corrientes,014,Beron De Astrada,18014,66731.1,2720,2720,-1,-1,-1,-1,-1,4.08
032,Argentina,66,Salta,014,Cachi,66014,28263.6,1633.6,1632.6,-1,1,-1,-1,-1,5.78
032,Argentina,10,Catamarca,014,Ancasti,10014,14262.1,4,-1,4,-1,-1,-1,-1,0.03
032,Argentina,46,La Rioja,014,Capital,46014,623126.7,10638.4,483.5,1435.5,8469.4,250,-1,-1,1.71
032,Argentina,38,Jujuy,014,El Carmen,38014,68999.6,21683.8,21407.4,60,155.7,60.7,-1,-1,31.43
032,Argentina,34,Formosa,014,Formosa,34014,594462.6,37.8,20.1,6.9,-1,-1,10.8,-1,0.01
032,Argentina,86,Santiago Del Estero,014,Alberdi,86014,504914.5,-1,-1,-1,-1,-1,-1,-1,-1.00
032,Argentina,90,Tucuman,014,Cruz Alta,90014,79417.4,12309.2,5822.2,4493.5,1955,-1,38.5,-1,15.50
