indice_tiempo,ternero($/kg),novillo($/kg),dolar($/U$S),IPIM,maiz($/ton),salario($/mes),vaca_conserva($/cab),vaquillona_preniada($/cab)
jul-11,11.95,8.24,4.16,112.43,717.8,2210,1816,4750
ago-11,12,8.58,4.2,114.54,696.8,2210,1896,4859
sep-11,12.5,8.55,4.21,116.7,689.8,2762,2084,3800
oct-11,12.3,8.6,4.25,118.44,656.8,2762,2140,3800
nov-11,12.25,8.67,4.26,120.15,607.8,2762,1956,4475
dic-11,12.5,8.2,4.27,122.43,590,2762,1788,4250
ene-12,11.13,7.96,4.32,124.75,578.4,2763,1652,4200
feb-12,10.88,8.4,4.34,126.81,740.9,2763,2208,3175
mar-12,11.88,9.57,4.35,129.74,678.8,2763,1772,3175
abr-12,12.25,9.59,4.39,132.55,705.2,2763,1588,4200
may-12,11.75,9.5,4.45,134.81,705.2,2763,1632,4150
jun-12,12,9.6,4.49,137.01,706.1,2763,1536,4150
jul-12,12.25,8.55,4.54,139.42,683.4,2763,1588,4150
ago-12,12.25,8.5,4.6,142.08,727.3,2763,1816,4225
sep-12,12.25,8.48,4.66,144.83,783.4,2763,1820,4225
oct-12,12.21,8.2,4.72,147.46,830,3316,1824,4300
nov-12,12.29,8.24,4.78,150.13,850,3316,1736,4200
dic-12,12.5,8.63,4.86,153.28,926,3581,1612,4150
ene-13,12.1,9.15,4.93,157.24,948,3581,1672,4200
feb-13,12.7,10.38,5.01,159.17,947.8,3581,1752,4400
mar-13,12.09,9.91,5.07,161.62,923.6,3581,1772,4429
abr-13,11.29,9.85,5.16,164.08,923,3581,1652,4534
may-13,11.9,9.58,5.2,166.66,879,3581,1600,4422
jun-13,11.57,9.95,5.33,169.87,988,3581,1628,4020
jul-13,11.4,9.63,5.44,174.2,1084,3581,1684,3800
ago-13,12.22,9.95,5.58,177.88,929,3581,1812,4073
sep-13,12.44,9.8,5.79,181.63,949.6,3581,1760,4060
oct-13,13.2,10.15,5.85,185.27,862.2,4082,2032,4184
nov-13,16.22,11.73,6,189.71,941.1,4082,2556,4593
dic-13,16.55,11.82,6.31,196.12,1075.8,4082,2332,5500
ene-14,15.46,12.57,7.1,205.17,998,4491,2244,6200
feb-14,17.31,14.99,7.86,213.99,1087,4491,2536,6769
mar-14,17.17,15.3,7.93,221.05,1242,4491,2280,6427
abr-14,17.26,15.54,8,227.19,1307.2,4491,2456,6263
may-14,17.16,15.91,8.04,232.37,1414.8,4491,2536,6153
jun-14,17.82,15.89,8.13,237.49,1430.4,4491,2434,6827
jul-14,19.76,17.03,8.16,243.35,1250,4491,2628,6000
ago-14,22.63,17.81,8.32,249.8,1115.7,4491,3316,5969
sep-14,25.88,17.5,8.42,256.8,1023.6,4491,3996,7805
oct-14,24.55,16.33,8.48,262.57,929,5550,3976,8094
nov-14,24.73,16.41,8.53,267.46,946.9,5550,3938,8800
dic-14,23.3,16.25,8.55,272.46,1009.4,6001,3212,8425
ene-15,23.59,15.87,8.6,278.13,1009,6001,3429,8074
feb-15,25.05,17.12,8.69,282.24,988.5,6001,3568,10131
mar-15,24.75,16.87,8.78,288.23,972.7,6001,3488,8685
abr-15,23.2,17.03,8.87,294.02,949.9,6001,3092,8725
may-15,23.64,17.48,8.95,299.9,986.3,6001,3180,9598
jun-15,24.51,18.16,9.04,304.49,993,6001,3200,8128
jul-15,25.27,18.31,9.14,310.33,940.2,6001,3516,8315
ago-15,26.57,18.81,9.24,317.07,917,6001,3772,8800
sep-15,28.35,19.16,9.37,323.16,894.5,6001,3964,8800
oct-15,29.86,20.04,9.49,328.07,913.6,7201,4151,9850
nov-15,35.2,21.88,9.63,335.29,1071.5,7201,4424,12031
dic-15,37.29,25.89,11.43,348.03,1240.6,7681,4508,13967
ene-16,35.22,24.42,13.65,379.35,1672,7681,4384,11621
feb-16,34.95,25.43,14.82,398.32,1993.3,7681,4728,12660
mar-16,35.26,26.43,14.9,407.88,2253.3,7681,4396,13955
abr-16,34.67,27.84,14.41,413.99,2190,7681,4752,13154
may-16,34.6,29.05,14.14,428.9,2492,7681,4324,14117
jun-16,35.86,30.32,14.14,441.34,2740,7681,4408,13473
jul-16,36.91,29.97,14.91,453.25,2852.3,7681,5136,14033
ago-16,38.28,29.94,14.85,455.07,2691.1,7681,5621,12406
sep-16,39.48,29.64,15.1,456.89,2377.3,9218,6064,14630
oct-16,38.87,28.82,15.18,459.63,2369.8,10370,5953,14575
nov-16,38.28,28.12,15.34,464.68,2478.2,10370,5955,14517
dic-16,37.32,27.38,15.83,468.4,2585.2,10370,5400,13932
ene-17,36.01,26.51,15.91,475.43,2627,10370,5596,11912
feb-17,36.73,28.7,15.6,483.51,2665,10370,5804,12743
mar-17,37.81,30.54,15.52,487.86,2440,10370,5645,13557
abr-17,37.84,31.51,15.36,490.3,2320.7,10370,5372,13732
may-17,37.64,31.39,15.7,494.71,2335.3,10370,5287,13978
jun-17,37.64,32.31,16.12,504.11,2379,10370,5286,14641
jul-17,39.4,32.3,17.17,517.22,2250.5,10370,5928,13036
ago-17,42.83,33.78,17.42,527.05,2397.1,10370,6612,12338
sep-17,44.45,33.46,17.25,532.32,2314.3,12651,7072,14056
oct-17,44.88,32.86,17.45,540.3,2326,12651,7180,15385
nov-17,45.21,33.03,17.49,548.41,2362.6,12651,7264,18221
dic-17,44.26,32.44,17.7,557.18,2392.4,12651,6688,17834
ene-18,43.11,31.47,19.03,582.81,2556.3,12651,6836,14863
feb-18,43.92,34.53,19.84,610.79,2878,12651,7136,16117
mar-18,42.04,33.41,20.24,622.39,3241.1,12651,6416,14493
abr-18,40.33,33.16,21.23,633.59,3454,12651,6420,15722
may-18,45.03,36,23.67,681.11,3653,12651,6972,15662
jun-18,44.82,39.19,26.53,725.39,4254,12651,7152,15354
jul-18,43.68,40.98,27.62,759.48,4258,12651,7652,15985
ago-18,46.94,42.72,30.12,796.69,4598.6,15267,9600,17746
sep-18,56.24,46.73,38.59,924.16,5213.2,15267,12428,23500
oct-18,52.13,44.76,37.12,951.89,4918.1,15908,12268,19882
nov-18,48.49,44.2,36.46,952.84,4789,15908,12185,21214
dic-18,49.6,46.23,37.89,965.23,5463.6,15908,11924,21099
ene-19,55.85,54.57,37.41,979.71,5545.9,16545,13064,22635
feb-19,66.56,63.33,38.41,1004.03,5392.5,19101,13292,26511
mar-19,64.58,63.79,41.36,1045.2,5797,19101,12836,24329
abr-19,64.42,63.95,43.23,1093.28,5736.1,19101,12894,25042
may-19,69.03,62.19,44.93,1131.54,6396.6,19101,13197,25470
jun-19,70.07,62.5,43.79,1166.35,6967.9,19101,13192,23511
jul-19,67.2,62.37,42.54,1167.51,6293.3,19101,14244,25000
ago-19,79.38,66.8,52.73,1298.27,6648.8,23494,17896,34831
