cod_pais,nom_pais,año,producto,unidad_id,nom_unidad,enero,febrero,marzo,abril,mayo,junio,julio,agosto,septiempre,octubre,noviembre,diciembre
32,Argentina,1965,pellets de maní,t,tonelada,0,0,0,0,5783,2063,3691,3105,3891,4099,6690,3489
32,Argentina,1966,pellets de maní,t,tonelada,795,273,742,495,2153,3595,4310,3150,3178,7346,5495,2210
32,Argentina,1967,pellets de maní,t,tonelada,1118,0,0,808,4799,2954,2768,710,435,2674,953,2702
32,Argentina,1968,pellets de maní,t,tonelada,2126,203,103,570,1705,2633,2843,1890,1009,2278,2527,625
32,Argentina,1969,pellets de maní,t,tonelada,2757,0,0,0,1405,1877,1661,373,0,47,160,0
32,Argentina,1970,pellets de maní,t,tonelada,0,250,0,0,393,0,1572,23,1404,0,1098,628
32,Argentina,1971,pellets de maní,t,tonelada,0,0,17,601,1002,2243,2669,8719,7801,4259,6885,4767
32,Argentina,1972,pellets de maní,t,tonelada,2989,711,196,986,2400,222,984,2832,5248,4557,7076,3118
32,Argentina,1973,pellets de maní,t,tonelada,1886,409,562,3097,5308,5252,6961,6958,5916,5690,2995,6255
32,Argentina,1974,pellets de maní,t,tonelada,3383,1479,0,3789,8739,15118,7399,7712,6109,8159,3672,3007
32,Argentina,1975,pellets de maní,t,tonelada,0,4106,3851,1889,2943,3817,10883,7392,12396,3361,3800,3425
32,Argentina,1976,pellets de maní,t,tonelada,13199,6670,2564,178,7379,7671,10759,1951,2374,3293,11814,11418
32,Argentina,1977,pellets de maní,t,tonelada,11604,10238,11255,12772,10341,13339,12627,26259,20749,9847,14485,10039
32,Argentina,1978,pellets de maní,t,tonelada,9982,8829,4643,10088,14222,11182,10780,11047,3752,9558,5403,1564
32,Argentina,1979,pellets de maní,t,tonelada,4384,6213,6951,8936,18305,19302,18360,15378,16622,11586,7002,7580
32,Argentina,1980,pellets de maní,t,tonelada,6461,4258,2660,168,2415,7957,4372,11878,12487,4644,4868,1702
32,Argentina,1981,pellets de maní,t,tonelada,1926,2270,4132,300,1943,6955,3886,6628,5649,1788,3659,3610
32,Argentina,1982,pellets de maní,t,tonelada,4916,14221,3377,2497,6653,7205,5730,6328,7377,2039,8719,3904
32,Argentina,1983,pellets de maní,t,tonelada,14552,8768,4440,4860,4290,2385,5223,5947,4166,3202,4010,2758
32,Argentina,1984,pellets de maní,t,tonelada,2315,1876,4549,1223,2112,5058,5207,4527,5204,5558,6243,3180
32,Argentina,1985,pellets de maní,t,tonelada,603,5316,4284,89,2652,6313,3625,4530,4746,4632,4899,4195
32,Argentina,1986,pellets de maní,t,tonelada,81,3272,2733,1468,2829,6848,6154,6732,6624,6517,9557,5498
32,Argentina,1987,pellets de maní,t,tonelada,1965,791,13221,10430,5307,7598,13214,12476,17923,12483,12335,15286
32,Argentina,1988,pellets de maní,t,tonelada,10231,14063,5692,1256,3109,6460,8180,7206,7635,5773,7434,9999
32,Argentina,1989,pellets de maní,t,tonelada,3593,5660,4215,0,1064,0,1965,5413,9326,2668,4691,3369
32,Argentina,1990,pellets de maní,t,tonelada,576,0,3525,1403,1022,3269,9184,6033,3418,4990,4372,2555
32,Argentina,1991,pellets de maní,t,tonelada,319,3280,1424,0,4248,5182,11282,20244,10824,18257,14300,23355
32,Argentina,1992,pellets de maní,t,tonelada,13900,10829,11852,11587,11453,14661,6928,13483,7852,10926,11627,11016
32,Argentina,1993,pellets de maní,t,tonelada,7698,10454,8030,3910,1103,3527,5653,4116,4370,3857,6122,3142
